appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
593540,Elven Legend 2: The Bewitched Tree,Growing Grass Studio,Growing Grass Studio,,12,5,0,"0 .. 20,000",0,0,0,0,199,199,0,0
612740,Bokida - Heartfelt Reunion,Rice Cooker Republic,Rice Cooker Republic,,108,31,0,"0 .. 20,000",321,0,321,0,999,999,0,0
495750,Reckpunk,dlan,dlan,,17,3,0,"0 .. 20,000",0,0,0,0,0,0,0,0
587840,In the Darkness of the Sea,Olivier Leclair,Olivier Leclair,,54,17,0,"0 .. 20,000",0,0,0,0,0,0,0,0
630510,PsychLabVR,Noah Robinson,Noah Robinson,,3,1,0,"0 .. 20,000",0,0,0,0,0,0,0,0
636310,Concurrency,Andy Imm,Restful Panic ltd,,9,7,0,"0 .. 20,000",0,0,0,0,99,99,0,0
614700,Nightmare Grotto,"8th Shore, Inc.","8th Shore, Inc.",,14,4,0,"0 .. 20,000",0,0,0,0,899,899,0,0
620170,Icarus Starship Command Simulator,Midwest Video Games,Midwest Video Games,,41,5,0,"0 .. 20,000",0,0,0,0,399,399,0,0
434160,A Hole New World,MadGearGames,MadGearGames,,61,14,0,"0 .. 20,000",0,0,0,0,999,999,0,0
622810,Invasion,brutalsoft,brutalsoft,,28,1,0,"0 .. 20,000",0,0,0,0,299,299,0,0
449640,Bloody Zombies,Paw Print Games Ltd.,nDreams,,53,23,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
595090,Prevent The Fall,D.W.S,D.W.S.,,56,33,0,"0 .. 20,000",0,0,0,0,999,999,0,0
523110,VEGAS Movie Studio 14 Steam Edition,MAGIX Software GmbH,MAGIX Software GmbH,,88,59,0,"0 .. 20,000",0,0,0,0,0,0,0,4
551630,Navalia,Luotsi Entertainment,Digital Tribe,,16,19,0,"0 .. 20,000",0,0,0,0,1299,1299,0,0
573660,AereA,Triangle Studios,SOEDESCO,,24,29,0,"0 .. 20,000",54,0,54,0,1499,1499,0,0
555370,1812: The Invasion of Canada,HexWar Games,HexWar Games,,16,17,0,"0 .. 20,000",0,0,0,0,2499,2499,0,1
613970,Bravery: Rise of The Last Hero,Magic Dungeon Studio,Magic Dungeon Studio,,6,9,0,"0 .. 20,000",0,0,0,0,499,499,0,0
583090,SeaBed,Paleontology,Fruitbat Factory,,190,9,0,"0 .. 20,000",425,0,425,0,1999,1999,0,5
